extension
7z
pak
xz
zipx
zip
xpi
war
tlz
tgz
tbz2
tar
shar
s7z
rpm
rar
whl
mar
pea
a
apk
ar
cab
cpio
bz2
dmg
egg
gz
iso
jar
lha
deb
ape
mid
au
flac
gsm
it
m3u
m4a
mod
wav
mpa
ogg
pls
ra
s3m
sid
wma
xm
aiff
mp3
aac
azw1
cbz
cbr
azw
azw6
azw4
azw3
epub
mobi
ada
nim
m4
m
lua
lisp
lhs
cbl
kt
ksh
adb
ads
asm
asp
aspx
bas
2.ada
bash
c++
c
1.ada
js
jsp
jsx
bat
cc
e
clj
hxx
html
htm
hs
hpp
hh
h
groovy
go
ftn
fth
for
fish
f90
f77
f
el
patch
diff
d
cxx
csh
cs
cpp
cob
class
php
sh
php4
zsh
xml
xcodeproj
vcxproj
vb
v
swift
swg
php3
inc
java
po
s
php5
phtml
rs
rb
r
py
pp
scala
pl
crx
command
bin
msi
exe
woff2
woff
ttf
otf
eot
webp
kml
gpx
kmz
dwg
dxf
3dm
3ds
max
bmp
dds
gif
jpg
png
psd
jpeg
tga
thm
tif
tiff
yuv
ai
eps
ps
svg
xcf
xls
ics
tsv
csv
xlsx
ods
vcf
odp
ppt
wps
wpd
tex
rst
rtf
pdf
org
doc
docx
ebook
log
md
msg
odt
pages
txt
wmv
webm
3g2
3gp
aaf
asf
avchd
avi
flv
m2v
m4p
m4v
mkv
mng
mov
mp2
drc
mpe
mp4
vob
svi
srt
rmvb
rm
qt
roq
ogv
nsv
mxf
mpv
mpg
mpeg
ogm
css
scss
torrent
less
wasm
shtml
